Economy lookup,WB region lookup,FY 23 Income gp lookup,WBG country name lookup,Flourish map geometry lookup,Latitude lookup,Longitude lookup,Datawrapper name lookup,ICP 2021 region lookup,iso3code,countrycode,countrygroup,Cost of a healthy diet 2022,Share of the population who cannot afford a healthy diet 2022,Number of people who cannot afford a healthy diet (millions) 2022
Albania,Europe & Central Asia,Upper middle income,Albania,"{""type"":""Polygon"",""coordinates"":[[[19.34238,41.86909],[19.34551,41.91885],[19.36113,41.99775],[19.35215,42.02402],[19.36143,42.06909],[19.33086,42.1293],[19.28066,42.17256],[19.329,42.24927],[19.39961,42.34189],[19.46514,42.41538],[19.54453,42.49194],[19.59746,42.56543],[19.65449,42.62856],[19.70342,42.64795],[19.72783,42.63452],[19.74072,42.60693],[19.73779,42.52515],[19.75449,42.49692],[19.78828,42.47617],[19.85977,42.48633],[19.93906,42.50669],[20.0457,42.5499],[20.06396,42.54727],[20.10352,42.52466],[20.18574,42.42588],[20.24053,42.33896],[20.34824,42.30879],[20.4083,42.27495],[20.48545,42.22339],[20.52285,42.17148],[20.57539,42.01309],[20.58145,41.91743],[20.56621,41.87368],[20.55313,41.86235],[20.50518,41.70649],[20.5166,41.62705],[20.51621,41.57476],[20.47559,41.5541],[20.44863,41.52129],[20.49238,41.39141],[20.48701,41.33608],[20.48896,41.27261],[20.56787,41.12783],[20.61445,41.08306],[20.65605,41.06167],[20.70928,40.92837],[20.74082,40.90527],[20.87021,40.91792],[20.9335,40.90312],[20.95859,40.87153],[20.96426,40.8499],[20.95576,40.77529],[20.98789,40.71777],[21.03105,40.65864],[21.03086,40.62246],[21.00195,40.56338],[20.9502,40.49438],[20.88164,40.46792],[20.80605,40.44546],[20.77002,40.39189],[20.75166,40.33491],[20.71787,40.29268],[20.69697,40.24639],[20.66494,40.15176],[20.65742,40.11738],[20.60625,40.08267],[20.52705,40.06851],[20.45605,40.06558],[20.40801,40.04946],[20.38369,40.01719],[20.33848,39.99106],[20.31113,39.97944],[20.31133,39.95078],[20.34424,39.89063],[20.38164,39.8418],[20.38242,39.80264],[20.36406,39.79175],[20.30615,39.79668],[20.29385,39.78223],[20.2876,39.73857],[20.27207,39.70117],[20.24824,39.67837],[20.20684,39.65352],[20.13105,39.66162],[20.05977,39.69912],[20.02256,39.71069],[20.00127,39.70942],[19.99561,39.80103],[19.96484,39.87227],[19.85186,40.04355],[19.48457,40.20996],[19.39814,40.28486],[19.36016,40.34771],[19.32227,40.40708],[19.35859,40.40874],[19.39453,40.3937],[19.44053,40.37568],[19.45918,40.40537],[19.43926,40.47026],[19.34463,40.62207],[19.3375,40.66382],[19.38389,40.79072],[19.46123,40.9333],[19.45605,41.10605],[19.48008,41.23638],[19.45342,41.321],[19.44063,41.42476],[19.49736,41.5627],[19.5458,41.59683],[19.57568,41.64043],[19.57754,41.7875],[19.46826,41.85615],[19.34238,41.86909]]]}",41,20,Albania,Eurostat-OECD,ALB,3,Albania,4.190466404,12.24007074,0.347902089
Algeria,Middle East & North Africa,Lower middle income,Algeria,"{""type"":""Polygon"",""coordinates"":[[[8.57656,36.93721],[8.59766,36.88389],[8.60127,36.83394],[8.50674,36.7875],[8.44424,36.76074],[8.36963,36.63252],[8.23076,36.54526],[8.20762,36.51895],[8.20879,36.49512],[8.30273,36.45562],[8.33398,36.41816],[8.34873,36.36797],[8.30674,36.18877],[8.28027,36.05098],[8.2457,35.87056],[8.24707,35.80181],[8.28291,35.71929],[8.31807,35.65493],[8.329,35.58223],[8.31641,35.40312],[8.35986,35.29961],[8.39424,35.20386],[8.31211,35.08462],[8.27686,34.97949],[8.25469,34.82896],[8.24561,34.73408],[8.19277,34.64629],[8.12344,34.56392],[8.04561,34.5127],[7.94941,34.4687],[7.83828,34.4103],[7.74854,34.25449],[7.55449,34.125],[7.51387,34.08052],[7.49561,33.97651],[7.5002,33.83247],[7.53438,33.71792],[7.62754,33.54863],[7.70918,33.3623],[7.73135,33.26851],[7.7627,33.23311],[7.87725,33.17212],[8.07559,33.08906],[8.1125,33.05532],[8.21094,32.92671],[8.3042,32.69629],[8.3334,32.5436],[8.51514,32.42231],[8.68291,32.31045],[8.84404,32.21211],[9.01895,32.10537],[9.04404,32.07236],[9.10234,31.84614],[9.16025,31.62134],[9.22402,31.37368],[9.28789,31.12534],[9.36328,30.83291],[9.40605,30.6668],[9.45801,30.46538],[9.51875,30.22939],[9.421,30.1793],[9.31025,30.11523],[9.39102,29.99365],[9.54619,29.79595],[9.64014,29.63643],[9.67266,29.56699],[9.7459,29.36895],[9.80527,29.17695],[9.8207,29.11479],[9.84258,28.96699],[9.81563,28.56021],[9.8582,28.04331],[9.91602,27.78569],[9.82529,27.55298],[9.74756,27.33086],[9.75254,27.21934],[9.79541,27.04478],[9.83711,26.91582],[9.89443,26.84795],[9.8832,26.63081],[9.85938,26.55195],[9.68496,26.43823],[9.49141,26.33374],[9.43789,26.24551],[9.42236,26.14707],[9.44824,26.06714],[9.58125,25.89014],[9.78105,25.62427],[10.00068,25.33208],[10.01904,25.25854],[10.02813,25.05103],[10.11953,24.79023],[10.21865,24.67622],[10.25586,24.59102],[10.32578,24.53022],[10.3959,24.4856],[10.43896,24.48022],[10.68613,24.55137],[11.1082,24.43403],[11.50762,24.31436],[11.53691,24.29082],[11.62422,24.1397],[11.76699,23.89258],[11.87305,23.69482],[11.96787,23.51787],[11.45,23.2126],[10.93223,22.90728],[10.41436,22.602],[9.89648,22.29673],[9.37871,21.99141],[8.86094,21.68613],[8.34307,21.38086],[7.8252,21.07559],[7.48174,20.8731],[7.26338,20.69448],[6.98936,20.47051],[6.73066,20.24805],[6.52705,20.07295],[6.26338,19.84614],[6.13066,19.73198],[5.83662,19.47915],[5.74834,19.43423],[5.35869,19.35952],[5.00137,19.29106],[4.67129,19.22778],[4.4457,19.18452],[4.22764,19.14277],[3.91016,19.08374],[3.6835,19.0416],[3.43877,18.99614],[3.40088,18.98843],[3.35645,18.98662],[3.32344,18.98838],[3.25596,19.01328],[3.17422,19.0729],[3.11973,19.10317],[3.10605,19.1501],[3.13789,19.21216],[3.17725,19.26816],[3.19238,19.31206],[3.21963,19.34541],[3.25439,19.37261],[3.25586,19.41094],[3.22705,19.47358],[3.20166,19.5604],[3.20273,19.71831],[3.20342,19.77075],[3.20371,19.7897],[3.13027,19.8502],[2.99248,19.9166],[2.86572,19.95596],[2.80791,19.96943],[2.66777,19.99292],[2.47422,20.03501],[2.40615,20.06387],[2.28086,20.2103],[2.21934,20.2478],[1.92881,20.27271],[1.83242,20.29688],[1.75322,20.33159],[1.68545,20.37837],[1.64736,20.45884],[1.63604,20.52437],[1.61064,20.55557],[1.29023,20.71357],[1.20889,20.76729],[1.16572,20.81743],[1.16406,20.89131],[1.17275,20.98198],[1.15918,21.0625],[1.14551,21.10225],[0.99941,21.19775],[0.67188,21.41187],[0.34443,21.62598],[0.01699,21.84014],[-0.31055,22.0542],[-0.63799,22.26831],[-0.96548,22.48247],[-1.29297,22.69653],[-1.62041,22.91064],[-1.9479,23.1248],[-2.27539,23.33887],[-2.60293,23.55303],[-2.93037,23.76714],[-3.25786,23.98125],[-3.58535,24.19536],[-3.91279,24.40947],[-4.24033,24.62354],[-4.51699,24.80449],[-4.82261,24.99561],[-5.04951,25.13545],[-5.275,25.27451],[-5.51694,25.42378],[-5.67451,25.51641],[-5.86255,25.627],[-6.05059,25.7376],[-6.23867,25.84819],[-6.42671,25.95879],[-6.61475,26.06943],[-6.80283,26.17998],[-6.99087,26.29058],[-7.17891,26.40117],[-7.36699,26.51177],[-7.55508,26.62236],[-7.74312,26.73296],[-7.93115,26.84355],[-8.11924,26.95415],[-8.30728,27.06475],[-8.49531,27.17534],[-8.68335,27.28594],[-8.68335,27.49023],[-8.68335,27.65645],[-8.68335,27.90039],[-8.68335,28.11201],[-8.68335,28.32368],[-8.68335,28.46924],[-8.68335,28.62075],[-8.67842,28.6894],[-8.65991,28.7186],[-8.55835,28.76787],[-8.39932,28.88018],[-8.34048,28.93018],[-8.26519,28.98052],[-7.99893,29.13242],[-7.94385,29.17476],[-7.68516,29.34951],[-7.62461,29.3752],[-7.48574,29.39224],[-7.42769,29.425],[-7.34976,29.49473],[-7.23491,29.5749],[-7.16021,29.61265],[-7.14243,29.61958],[-7.09492,29.6252],[-6.85557,29.60161],[-6.75513,29.58384],[-6.63535,29.5688],[-6.59775,29.57896],[-6.56567,29.60386],[-6.52056,29.65986],[-6.51069,29.72603],[-6.50791,29.78379],[-6.50088,29.80913],[-6.47974,29.82036],[-6.42764,29.81611],[-6.35762,29.8083],[-6.21479,29.81069],[-6.1665,29.81895],[-6.0043,29.83125],[-5.775,29.86904],[-5.59331,29.91797],[-5.44878,29.95693],[-5.29365,30.05864],[-5.18013,30.16616],[-5.06191,30.32642],[-4.96826,30.46538],[-4.77852,30.55239],[-4.61963,30.60479],[-4.52915,30.62554],[-4.32285,30.69888],[-4.14878,30.80957],[-3.98535,30.91353],[-3.86006,30.92725],[-3.702,30.94448],[-3.6668,30.96401],[-3.6269,31.00093],[-3.62451,31.06577],[-3.67251,31.11138],[-3.73018,31.1354],[-3.771,31.16182],[-3.81182,31.1666],[-3.8334,31.1978],[-3.82139,31.25547],[-3.81514,31.30884],[-3.78916,31.36182],[-3.79644,31.43711],[-3.83711,31.51235],[-3.84956,31.56641],[-3.84668,31.61987],[-3.82676,31.66191],[-3.76816,31.68955],[-3.70024,31.7001],[-3.60459,31.68677],[-3.43979,31.70454],[-3.01738,31.83428],[-2.98823,31.87422],[-2.96113,31.96396],[-2.93086,32.04253],[-2.88721,32.06885],[-2.86343,32.07471],[-2.72261,32.09575],[-2.52324,32.12568],[-2.44839,32.12998],[-2.23125,32.12134],[-2.0728,32.11504],[-1.81699,32.10479],[-1.63516,32.09956],[-1.47705,32.09487],[-1.27534,32.08901],[-1.22593,32.10723],[-1.22593,32.16455],[-1.26211,32.27114],[-1.24033,32.3376],[-1.1626,32.39917],[-1.06553,32.46831],[-1.11104,32.55229],[-1.18823,32.6085],[-1.29639,32.67568],[-1.35215,32.70337],[-1.45,32.78481],[-1.51001,32.87764],[-1.55073,33.07358],[-1.6251,33.18335],[-1.6792,33.31865],[-1.63125,33.56675],[-1.70298,33.71685],[-1.71411,33.78184],[-1.7147,33.8582],[-1.69268,33.99028],[-1.70693,34.17607],[-1.7918,34.36792],[-1.75186,34.43325],[-1.7333,34.46704],[-1.73945,34.49609],[-1.8166,34.55708],[-1.84966,34.60732],[-1.83242,34.65464],[-1.79219,34.72319],[-1.79561,34.7519],[-1.9209,34.83555],[-2.13179,34.97085],[-2.19077,35.02979],[-2.21963,35.1042],[-2.01777,35.08506],[-1.91328,35.09424],[-1.67363,35.18311],[-1.48374,35.30308],[-1.33584,35.36426],[-1.20537,35.49575],[-1.0877,35.57886],[-0.91748,35.66841],[-0.42612,35.86152],[-0.35078,35.86318],[-0.18916,35.81909],[-0.04824,35.83281],[0.04795,35.90054],[0.15166,36.06313],[0.31221,36.16235],[0.51494,36.26182],[0.79082,36.35654],[0.97168,36.44395],[1.25723,36.51958],[1.97451,36.56758],[2.34287,36.6103],[2.59336,36.60068],[2.84648,36.73887],[2.97285,36.78447],[3.52051,36.79512],[3.779,36.89619],[4.75811,36.89634],[4.87783,36.8624],[4.99541,36.80806],[5.19561,36.67681],[5.29541,36.64824],[5.42461,36.67544],[5.72549,36.79961],[6.06475,36.86426],[6.24912,36.93833],[6.32783,37.04604],[6.48652,37.08574],[6.57588,37.00303],[6.92754,36.91943],[7.14346,36.94336],[7.23848,36.96851],[7.2043,37.09238],[7.43242,37.05928],[7.60771,36.99976],[7.7916,36.88027],[7.91045,36.85635],[8.12715,36.91035],[8.57656,36.93721]]]}",28,3,Algeria,AFRICA,DZA,4,Algeria,4.890724182,19.65938965,8.827699661
Angola,Sub-Saharan Africa,Lower middle income,Angola,"{""type"":""MultiPolygon"",""coordinates"":[[[[13.07275,-4.63477],[13.05732,-4.65107],[12.94746,-4.69531],[12.82969,-4.73662],[12.6748,-4.90537],[12.59619,-4.97842],[12.57354,-4.99658],[12.50273,-5.03691],[12.45146,-5.07148],[12.45322,-5.09063],[12.4874,-5.1127],[12.52236,-5.14893],[12.51895,-5.42461],[12.50371,-5.6958],[12.48457,-5.71875],[12.38604,-5.72773],[12.25527,-5.74648],[12.21367,-5.75869],[12.19902,-5.73193],[12.15547,-5.63271],[12.18008,-5.53867],[12.20654,-5.46826],[12.17715,-5.3248],[12.11055,-5.19717],[12.03994,-5.03516],[12.01836,-5.0043],[12.07754,-4.95215],[12.16709,-4.8377],[12.2043,-4.77861],[12.30791,-4.76553],[12.34668,-4.72412],[12.37402,-4.65771],[12.38457,-4.61914],[12.50146,-4.5875],[12.6417,-4.53115],[12.71943,-4.46973],[12.79824,-4.43057],[12.84814,-4.42891],[12.88105,-4.44512],[12.97139,-4.55176],[13.04805,-4.61924],[13.07275,-4.63477]]],[[[23.9665,-10.87178],[23.98828,-11.00283],[24.01006,-11.18477],[24.02559,-11.31563],[24.04141,-11.37412],[24.04668,-11.40537],[24.0293,-11.43916],[24.01465,-11.51768],[23.98682,-11.58721],[23.971,-11.63584],[23.98389,-11.725],[23.97344,-11.85293],[23.9623,-11.98789],[23.95889,-12.11777],[23.99648,-12.35068],[23.99131,-12.42217],[23.94473,-12.54375],[23.90938,-12.63613],[23.88652,-12.74326],[23.88242,-12.79902],[23.96807,-12.95693],[23.96299,-12.98848],[23.89746,-12.99824],[23.84316,-13.00098],[23.63584,-13.00098],[23.33867,-13.00098],[23.0415,-13.00098],[22.74434,-13.00098],[22.471,-13.00098],[22.20957,-13.00098],[21.97891,-13.00098],[21.979,-13.15684],[21.9791,-13.47773],[21.9791,-13.79873],[21.9793,-14.11963],[21.97939,-14.44053],[21.97949,-14.76143],[21.97959,-15.08232],[21.97969,-15.40322],[21.97979,-15.72412],[21.97979,-15.95557],[22.04023,-16.26279],[22.15068,-16.59717],[22.19395,-16.62813],[22.30508,-16.68955],[22.45947,-16.81514],[22.546,-16.91025],[22.72197,-17.07529],[22.95586,-17.28574],[23.18164,-17.47441],[23.38066,-17.64062],[23.06826,-17.69883],[22.62402,-17.78164],[22.32422,-17.8375],[21.96084,-17.90518],[21.71846,-17.94775],[21.41689,-18.00068],[21.36875,-17.99951],[21.28789,-17.96299],[21.11348,-17.95576],[20.9083,-18.00605],[20.74551,-18.01973],[20.6251,-17.99668],[20.50762,-17.95254],[20.39297,-17.8874],[20.19434,-17.86367],[19.91182,-17.88135],[19.63936,-17.86865],[19.37715,-17.82549],[19.18945,-17.8085],[19.07646,-17.81768],[18.95527,-17.80352],[18.82598,-17.76631],[18.71807,-17.70322],[18.58818,-17.57002],[18.48662,-17.44277],[18.46035,-17.42461],[18.42822,-17.40518],[18.39639,-17.39941],[18.10879,-17.396],[17.83535,-17.39277],[17.67881,-17.39258],[17.29629,-17.39199],[16.91367,-17.39141],[16.53105,-17.39082],[16.14844,-17.39023],[15.76582,-17.38965],[15.3832,-17.38916],[15.00059,-17.38857],[14.61797,-17.38799],[14.41475,-17.3877],[14.22588,-17.39775],[14.01748,-17.40889],[13.9874,-17.4042],[13.93799,-17.38877],[13.9042,-17.36074],[13.79199,-17.28838],[13.69434,-17.2335],[13.56172,-17.14121],[13.47598,-17.04004],[13.40371,-17.00781],[13.27568,-16.98955],[13.17949,-16.97168],[13.10117,-16.96768],[12.96318,-17.01543],[12.85928,-17.0626],[12.78516,-17.1082],[12.65654,-17.16055],[12.54814,-17.2127],[12.35928,-17.20586],[12.31846,-17.21338],[12.21338,-17.20996],[12.11436,-17.16455],[12.01396,-17.16855],[11.90254,-17.22656],[11.74307,-17.24922],[11.78008,-16.87129],[11.81895,-16.7041],[11.81992,-16.5043],[11.79697,-15.98643],[11.76943,-15.91533],[11.75088,-15.83193],[11.84971,-15.76836],[11.8999,-15.71982],[11.96787,-15.63398],[12.01611,-15.51367],[12.07324,-15.24824],[12.28047,-14.6375],[12.37891,-14.03906],[12.50371,-13.75547],[12.55049,-13.43779],[12.89766,-13.02773],[12.9832,-12.77568],[13.1627,-12.65215],[13.41699,-12.52041],[13.59795,-12.28613],[13.68555,-12.12383],[13.78535,-11.81279],[13.78428,-11.48799],[13.84746,-11.05439],[13.83359,-10.92969],[13.73896,-10.75713],[13.72139,-10.63359],[13.6335,-10.5123],[13.53945,-10.4207],[13.49541,-10.25713],[13.33223,-9.99893],[13.2875,-9.82676],[13.20938,-9.70322],[13.19688,-9.55068],[13.15566,-9.38965],[13.07598,-9.23037],[12.99854,-9.04805],[12.99854,-8.99102],[13.04678,-8.92227],[13.09277,-8.89971],[13.07725,-8.93428],[13.04658,-8.9752],[13.05381,-9.00684],[13.35898,-8.68721],[13.37832,-8.62471],[13.36807,-8.55479],[13.36641,-8.46924],[13.37852,-8.36973],[13.09082,-7.78018],[12.8623,-7.23184],[12.82344,-6.95479],[12.52129,-6.59033],[12.40215,-6.35342],[12.33428,-6.1873],[12.2833,-6.12432],[12.30254,-6.09258],[12.38037,-6.08428],[12.55352,-6.0459],[12.79063,-6.00391],[13.00977,-5.90762],[13.06816,-5.86484],[13.18438,-5.85625],[13.30264,-5.88184],[13.34648,-5.86338],[13.37148,-5.86182],[13.64902,-5.86172],[13.76455,-5.85518],[13.97852,-5.85723],[14.11377,-5.86514],[14.19082,-5.87598],[14.39863,-5.89268],[14.65791,-5.88887],[14.74941,-5.88008],[15.08936,-5.87451],[15.425,-5.86885],[15.72695,-5.86387],[16.06016,-5.86494],[16.31523,-5.86563],[16.43145,-5.9002],[16.53711,-5.96582],[16.58516,-6.02529],[16.60801,-6.05156],[16.63955,-6.11455],[16.69727,-6.16426],[16.71777,-6.24141],[16.70098,-6.346],[16.70938,-6.47168],[16.74297,-6.61846],[16.81309,-6.77256],[16.91943,-6.93398],[16.96582,-7.06211],[16.95205,-7.15703],[16.98477,-7.25742],[17.06377,-7.36309],[17.12158,-7.41904],[17.15508,-7.46133],[17.24502,-7.62334],[17.41133,-7.88193],[17.53604,-8.07588],[17.57959,-8.09902],[17.64336,-8.09072],[17.77881,-8.07139],[17.91309,-8.06768],[18.00879,-8.10762],[18.04717,-8.10078],[18.1915,-8.02383],[18.33486,-8.00029],[18.48467,-7.96855],[18.5627,-7.93594],[18.65342,-7.93604],[18.89834,-7.99814],[18.94443,-8.00146],[19.14268,-8.00146],[19.34082,-7.9666],[19.36992,-7.70654],[19.37168,-7.65508],[19.41934,-7.55732],[19.47988,-7.47217],[19.4874,-7.39072],[19.48379,-7.27949],[19.52764,-7.14443],[19.66035,-7.03711],[19.8752,-6.98633],[19.99746,-6.97646],[20.19004,-6.94629],[20.48223,-6.91582],[20.59004,-6.91992],[20.59873,-6.93516],[20.53691,-7.12178],[20.53584,-7.18281],[20.5584,-7.24443],[20.60781,-7.27773],[20.91094,-7.28145],[21.19033,-7.28496],[21.51084,-7.29668],[21.75107,-7.30547],[21.78164,-7.31465],[21.80605,-7.32861],[21.8416,-7.421],[21.83359,-7.60166],[21.78008,-7.86543],[21.80088,-8.11191],[21.8959,-8.34111],[21.90537,-8.69336],[21.87188,-8.90352],[21.82949,-9.16846],[21.81318,-9.46875],[21.85664,-9.59424],[21.94863,-9.72559],[22.08916,-9.86279],[22.19775,-10.04063],[22.27451,-10.25908],[22.30244,-10.39668],[22.28164,-10.45332],[22.2832,-10.55156],[22.30703,-10.69131],[22.28047,-10.78398],[22.20352,-10.82949],[22.17793,-10.89229],[22.2167,-11.0127],[22.22617,-11.12197],[22.25664,-11.16367],[22.27881,-11.19414],[22.31494,-11.19863],[22.39297,-11.15947],[22.48613,-11.08672],[22.56104,-11.05586],[22.6665,-11.05977],[22.81475,-11.08027],[23.07627,-11.08789],[23.15674,-11.0748],[23.4002,-10.97646],[23.46396,-10.96934],[23.55996,-10.97861],[23.69639,-11.00762],[23.83389,-11.01367],[23.90117,-10.9832],[23.90732,-10.94346],[23.92871,-10.8915],[23.9665,-10.87178]]]]}",-12.5,18.5,Angola,AFRICA,AGO,7,Angola,4.405533314,72.22038584,25.7025032
Egypt,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.","{""type"":""Polygon"",""coordinates"":[[[36.87139,21.99673],[36.54326,21.99663],[36.21523,21.99658],[35.88701,21.99653],[35.55898,21.99648],[35.23086,21.99644],[34.90273,21.99639],[34.57461,21.99634],[34.24648,21.99629],[33.91846,21.99624],[33.59033,21.99619],[33.26221,21.99614],[32.93408,21.99609],[32.60605,21.996],[32.27783,21.996],[31.9498,21.9959],[31.62168,21.99585],[31.43447,21.99585],[31.46641,22.08467],[31.48613,22.1478],[31.46426,22.1915],[31.40029,22.20244],[31.3585,22.18862],[31.26064,22.00229],[31.20918,21.99487],[31.09268,21.99487],[30.71064,21.99492],[30.32861,21.99502],[29.94668,21.99512],[29.56455,21.99512],[29.18252,21.99521],[28.80059,21.99526],[28.41855,21.99531],[28.03643,21.99536],[27.65449,21.99546],[27.27246,21.99551],[26.89043,21.99556],[26.5084,21.99561],[26.12637,21.99565],[25.74434,21.99575],[25.3623,21.9958],[24.98027,21.99585],[24.98027,22.22041],[24.98027,22.44497],[24.98027,22.66953],[24.98027,22.89409],[24.98027,23.11865],[24.98027,23.34321],[24.98027,23.56782],[24.98027,23.79238],[24.98027,24.01694],[24.98027,24.2415],[24.98027,24.46606],[24.98027,24.69062],[24.98027,24.91519],[24.98027,25.13975],[24.98027,25.36431],[24.98027,25.58887],[24.98027,25.81343],[24.98027,26.03799],[24.98027,26.26255],[24.98027,26.48711],[24.98027,26.71167],[24.98027,26.93623],[24.98027,27.16084],[24.98027,27.3854],[24.98027,27.60996],[24.98027,27.83452],[24.98027,28.05908],[24.98027,28.28364],[24.98027,28.5082],[24.98027,28.73276],[24.98027,28.95732],[24.98027,29.18188],[24.97168,29.22383],[24.91611,29.37627],[24.86592,29.57026],[24.81084,29.80874],[24.80371,29.88604],[24.71162,30.13154],[24.70322,30.20107],[24.72646,30.25059],[24.87754,30.45752],[24.92305,30.55801],[24.96143,30.67852],[24.97393,30.77656],[24.92949,30.92646],[24.87754,31.06123],[24.85996,31.19917],[24.85273,31.33481],[24.92998,31.42749],[25.02266,31.51401],[25.05723,31.56719],[25.11201,31.6269],[25.15049,31.65498],[25.22549,31.53379],[25.38223,31.51279],[25.89326,31.6209],[26.45732,31.51211],[26.76865,31.47036],[27.24805,31.37788],[27.54004,31.2127],[27.62012,31.19175],[27.82998,31.19502],[27.96758,31.09741],[28.51484,31.05044],[28.80693,30.94268],[28.97275,30.85674],[29.07207,30.83027],[29.15996,30.83457],[29.27891,30.86694],[29.42852,30.92744],[29.5916,31.01152],[29.92979,31.22749],[30.04941,31.26543],[30.12754,31.25566],[30.22266,31.2584],[30.2623,31.31685],[30.3123,31.35703],[30.34375,31.40273],[30.39512,31.45762],[30.571,31.473],[30.92354,31.56685],[30.88418,31.52236],[30.56299,31.41699],[30.70049,31.40386],[30.84141,31.43989],[31.00176,31.46279],[31.03086,31.50757],[31.05195,31.59155],[31.08291,31.60332],[31.19395,31.5876],[31.52441,31.45825],[31.60654,31.45576],[31.83926,31.52632],[31.88896,31.54141],[31.96426,31.5021],[32.13604,31.34106],[32.07607,31.34448],[31.89219,31.48247],[31.87588,31.41372],[31.77109,31.29258],[31.90205,31.24019],[32.0085,31.22051],[32.06563,31.15298],[32.10176,31.09282],[32.20654,31.11904],[32.28184,31.20088],[32.24277,31.24653],[32.21621,31.29375],[32.25059,31.29492],[32.32354,31.25605],[32.53281,31.10073],[32.60332,31.06875],[32.68457,31.07402],[32.85449,31.11772],[32.90156,31.11094],[33.12988,31.16816],[33.15674,31.12622],[33.19434,31.08452],[33.37793,31.13096],[33.6665,31.13042],[33.90254,31.18096],[34.17627,31.30391],[34.19814,31.32261],[34.2125,31.29229],[34.24531,31.2083],[34.32852,30.99502],[34.40098,30.82783],[34.48994,30.59629],[34.51777,30.50737],[34.52969,30.44604],[34.65859,30.19146],[34.73506,29.98203],[34.79111,29.81211],[34.86982,29.56392],[34.9043,29.47734],[34.84854,29.43213],[34.73643,29.27061],[34.61719,28.75791],[34.44648,28.35732],[34.42715,28.10649],[34.39971,28.01602],[34.31855,27.88896],[34.22012,27.76431],[34.04512,27.82886],[33.76025,28.04766],[33.59414,28.25557],[33.41611,28.38984],[33.24775,28.56772],[33.20195,28.6957],[33.20371,28.77778],[33.13018,28.97827],[33.07578,29.07305],[32.87061,29.28623],[32.81172,29.4],[32.7667,29.45],[32.72148,29.52178],[32.64717,29.79844],[32.56572,29.97397],[32.47305,29.92544],[32.48945,29.85151],[32.40859,29.74932],[32.35977,29.63066],[32.39727,29.53379],[32.56504,29.38633],[32.59902,29.32192],[32.63809,29.18218],[32.63184,28.99224],[32.65889,28.92773],[32.78447,28.78662],[32.82949,28.70288],[32.85654,28.63062],[32.89824,28.56523],[33.02285,28.44229],[33.20215,28.2083],[33.37227,28.05059],[33.49492,27.97446],[33.54707,27.89814],[33.55879,27.70122],[33.5498,27.60737],[33.65742,27.43057],[33.69727,27.34111],[33.80166,27.26816],[33.84932,27.18491],[33.89307,27.04946],[33.95908,26.64902],[34.04951,26.55073],[34.3293,26.02437],[34.56514,25.69116],[34.6793,25.44253],[34.85322,25.13979],[35.19414,24.47515],[35.39707,24.26997],[35.47783,24.15479],[35.62471,24.06602],[35.78389,23.93779],[35.63203,23.95034],[35.59385,23.94258],[35.54082,23.92065],[35.51523,23.84287],[35.50439,23.7793],[35.52275,23.44253],[35.56436,23.27109],[35.69785,22.94619],[35.79736,22.84873],[35.8458,22.78569],[35.91338,22.73965],[36.22969,22.62881],[36.41455,22.39419],[36.82969,22.09766],[36.87041,22.01577],[36.87139,21.99673]]]}",27,30,Arab Republic of Egypt,AFRICA/ WESTERN ASIA,EGY,59,Egypt,4.547132015,44.42646645,49.30897903
